Comente,texto_final,sentimento_bert
Se a caixinha fosse algo igual a outra no sentido de flexibilidade diria que era um diferencial. Mas a proposta é segurar 2 anos... nao vi vantagem. No fundo não há muita vantagem em ser cliente ultravioleta.,caixinha fosse algo igual outra sentido flexibilidade diria que era diferencial mas proposta segurar anos nao vantagem fundo não muita vantagem ser cliente ultravioleta,Neutral
🍇,nan,Neutral
ØŒ§ß¿,øœß,Neutral
Só queria saber pq vcs sempre deixa seus clientes em análise e nunca aumentar o limite da pessoa .pago sempre em dias nunca atraso estou  sempre colocando dinheiro na  caixinha e nada de aumento uma humilhação isso  fez um ano q vcs aumentaram limite e nunca mas sei pra q vcs colocar essas análise si vcs não dão aumento,queria saber vcs sempre deixa seus clientes análise nunca aumentar limite pessoa pago sempre dias nunca atraso estou sempre colocando dinheiro caixinha nada aumento uma humilhação isso fez ano vcs aumentaram limite nunca mas sei pra vcs colocar essas análise vcs não dão aumento,Neutral
Aumento q e bom nada,aumento bom nada,Neutral
Amo amo amo,amo amo amo,Neutral
Top demais nubank parabéns,top demais nubank parabéns,Neutral
"@nubank adicione isso a acesso a salas vip em voos nacionais ou mesmo diminuir o tempo de 2 dias úteis para movimentação nas ações. Ja que para ser cliente ultravioleta tem que ter mais de 50 mil investidos por que nao dar a eles crédito da venda das ações em menos tempo? Enfim.... nao vi vantagem em nada....tanto que nem uso o cartão . Pago meu seguro de vida com ele, produto da Nubank e não tem cashbak....mesmo sendo feito por ele. Enfim...... fico por que gosto do app e fo atendimento. O atendimento do ultravioleta é espetacular.....esse sim.",nubank adicione isso acesso salas vip voos nacionais mesmo diminuir tempo dias úteis para movimentação nas ações que para ser cliente ultravioleta tem que ter mais mil investidos por que nao dar eles crédito venda das ações menos tempo enfim nao vantagem nadatanto que nem uso cartão pago meu seguro vida com ele produto nubank não tem cashbakmesmo sendo feito por ele enfim fico por que gosto app atendimento atendimento ultravioleta espetacularesse sim,Neutral
@nubank sou cliente a 4 anos...,nubank sou cliente anos,Neutral
💜💜💜💜,nan,Neutral
Ameiiii 💜💜💜,ameiiii,Neutral
@nubank torcedor eu peço e vcs nunca aumentar meu limite,nubank torcedor peço vcs nunca aumentar meu limite,Neutral
Eles nunca aumentar o limite de seus clientes  demora séculos para isso mesmo pagando certinho,eles nunca aumentar limite seus clientes demora séculos para isso mesmo pagando certinho,Neutral
@nubank faço sempre isso e nda de aumentar  sempre na mesmo no sair do 400,nubank faço sempre isso nda aumentar sempre mesmo sair 400,Neutral
"As caixinhas não tem mais como ver o rendimento diário, mudou pra ruim eim",caixinhas não tem mais como ver rendimento diário mudou pra ruim eim,Neutral
Eu com cx1 cx2 cx3 super feliz 🩵 Quem diria meu Brasil #nubankbrasil💳💜,com cx1 cx2 cx3 super feliz quem diria meu brasil nubankbrasil,Neutral
É mesmo muito bom 😄,mesmo muito bom,Neutral
Minha experiência com o Nu sempre foi ótima agora com o ultravioleta que oferece cartão Mastercard Black com limite mais alto melhorou mais ainda 💜💜💜💜,minha experiência com sempre foi ótima agora com ultravioleta que oferece cartão mastercard black com limite mais alto melhorou mais ainda,Neutral
Jákkjsjsb,jákkjsjsb,Neutral
"Kzzzz ser n 3allslsoazz,,,😑😑🤗😬😬😑😱🤗😃 de zsmmmkkkzZMZLkkq#№",kzzzz ser 3allslsoazz zsmmmkkkzzmzlkkq,Neutral
Dkwkkk.  Look jsjJsjskkskksjdnbblálkksskskskksKsKewESsslssÁvccxxz.,dkwkkk look jsjjsjskkskksjdnbblálkksskskskkskskewessslssávccxxz,Neutral
Ms,nan,Neutral
"@christiankrentkowski Tmj meu parceiro, o mundo precisa de mais pessoas como vc",christiankrentkowski tmj meu parceiro mundo precisa mais pessoas como,Neutral
Como eu faço pra propaganda do banco de vocês não aparecer mais nas minhas redes sociais?,como faço pra propaganda banco vocês não aparecer mais nas minhas redes sociais,Neutral
Será q posso pedir outro cartão nubank?  Tou cancelada no crédito.,será posso pedir outro cartão nubank tou cancelada crédito,Neutral
"@christiankrentkowski boa explicação, obrigado pela orientação",christiankrentkowski boa explicação obrigado pela orientação,Neutral
"Nubank tem resolvido muita coisa na minha vida financeira. Banco sem burocracias, prático sempre buscando a melhor forma  de atender seus clientes. Vocês estão de parabéns!",nubank tem resolvido muita coisa minha vida financeira banco sem burocracias prático sempre buscando melhor forma atender seus clientes vocês estão parabéns,Neutral
"So falta aumentar o limite pra Guardar na caixinha, 5 mil é muito pouco 🙏🙏",falta aumentar limite pra guardar caixinha mil muito pouco,Neutral
Amooo meu roxinho sempre me socorrendo 😍,amooo meu roxinho sempre socorrendo,Neutral
Eu fiz meu cadastro no dia 16 e hoje já é dia 21 e o cadastro ainda não foi totalmente finalizada @nubank,fiz meu cadastro dia hoje dia cadastro ainda não foi totalmente finalizada nubank,Neutral
Sempre curtindo 👍,sempre curtindo,Neutral
"@bell.de.melo Me seguem aí pra mim ajuda , oi Maranhense crio conteúdo tbm 🙌❤️",belldemelo seguem pra mim ajuda maranhense crio conteúdo tbm,Neutral
"@conceicaodemaria935 Me seguem aí pra mim ajuda , oi Maranhense crio conteúdo tbm 🙌❤️",conceicaodemaria935 seguem pra mim ajuda maranhense crio conteúdo tbm,Neutral
"Salário cai na conta, pagamentos em dias empréstimo pagar antes da data e pra aumentar um limite dura um ano e olha lá melhore viu",salário cai conta pagamentos dias empréstimo pagar antes data pra aumentar limite dura ano olha melhore viu,Neutral
@nubank graças a Deus pq 1400 nem dá pra comprar o que eu preciso só melhorar pra todos nós quer é fiel com vcs as análises de limite,nubank graças deus 1400 nem pra comprar que preciso melhorar pra todos nós quer fiel com vcs análises limite,Neutral
"""Guardar qualquer valor"" = limite de 5k",guardar qualquer valor limite,Neutral
Pena que o limite para colocar nessa caixinha é de 5k. E ate quando vai durar essa caixinha só esse mês mesmo?,pena que limite para colocar nessa caixinha 5k ate quando vai durar essa caixinha esse mês mesmo,Neutral
"@nubank obrigado por responder, bom saber disso!",nubank obrigado por responder bom saber disso,Neutral
"Nubank, passei vergonha no mercado porque o cartão não queria passar.",nubank passei vergonha mercado porque cartão não queria passar,Neutral
@vivinato1 (Obs: eu tinha dinheiro),vivinato1 obs tinha dinheiro,Neutral
Eu quero um carrão de créditos 😢,quero carrão créditos,Neutral
NuCel 120% CDI 🚀,nucel 120 cdi,Neutral
Melhor branco do mundo,melhor branco mundo,Neutral
Red bul não dá asas,red bul não asas,Neutral
,nan,Neutral
,nan,Neutral
,nan,Neutral
,nan,Neutral
,nan,Neutral
,nan,Neutral
,nan,Neutral
,nan,Neutral
,nan,Neutral
,nan,Neutral
,nan,Neutral
,nan,Neutral
,nan,Neutral
,nan,Neutral
,nan,Neutral
,nan,Neutral
,nan,Neutral
,nan,Neutral
,nan,Neutral
,nan,Neutral
,nan,Neutral
,nan,Neutral
,nan,Neutral
,nan,Neutral
,nan,Neutral
,nan,Neutral
,nan,Neutral
,nan,Neutral
,nan,Neutral
,nan,Neutral
,nan,Neutral
,nan,Neutral
,nan,Neutral
,nan,Neutral
,nan,Neutral
,nan,Neutral
,nan,Neutral
,nan,Neutral
,nan,Neutral
,nan,Neutral
,nan,Neutral
,nan,Neutral
,nan,Neutral
,nan,Neutral
,nan,Neutral
,nan,Neutral
,nan,Neutral
,nan,Neutral
,nan,Neutral
,nan,Neutral
,nan,Neutral
,nan,Neutral
,nan,Neutral
,nan,Neutral
,nan,Neutral
,nan,Neutral
,nan,Neutral
,nan,Neutral
,nan,Neutral
,nan,Neutral
,nan,Neutral
,nan,Neutral
,nan,Neutral
,nan,Neutral
,nan,Neutral
,nan,Neutral
,nan,Neutral
,nan,Neutral
,nan,Neutral
,nan,Neutral
,nan,Neutral
,nan,Neutral
,nan,Neutral
,nan,Neutral
,nan,Neutral
,nan,Neutral
,nan,Neutral
,nan,Neutral
,nan,Neutral
,nan,Neutral
,nan,Neutral
"@nubank Fiz todos esses passos nada a ser resolvido, estou com vários protocolos de ligação no email tentando resolver essa situação, j são 7 a 8 dias sem ter acesso no meu aplicativo, Tenho compromisso dia 8  e não sei mais o que fazer, pois vcs não resolveram nada até agora, aí vai sobrar tudo pro meu lado, juro e juros se eu não pág no dia certo",nubank fiz todos esses passos nada ser resolvido estou com vários protocolos ligação email tentando resolver essa situação são dias sem ter acesso meu aplicativo tenho compromisso dia não sei mais que fazer pois vcs não resolveram nada até agora vai sobrar tudo pro meu lado juro juros não pág dia certo,Neutral
"@nubank  já liguei e não adianta, tô ligando todos os dias e nada é resolvido",nubank liguei não adianta ligando todos dias nada resolvido,Neutral
"@igorc88 Tô achando que isso já tá virando sacanagem, não é possível, nada é resolvido",igorc88 achando que isso virando sacanagem não possível nada resolvido,Neutral
"@leitebeatryz Se ué ti falar que o meu tá assim tem uns 8 dias, e ninguém resolve nada,  passo o dia Todo ligando e só falam que tá com problema o app que em breve volta ao normal",leitebeatryz falar que meu assim tem uns dias ninguém resolve nada passo dia todo ligando falam que com problema app que breve volta normal,Neutral
@sandrasantosgabriel035 colega o meu está sem atualização de pagamento desde o dia 16 de Dezembro eles sujaram o meu nome por um erro do aplicativo,sandrasantosgabriel035 colega meu está sem atualização pagamento desde dia dezembro eles sujaram meu nome por erro aplicativo,Neutral
"@leitebeatryz Meu Deus, tenho contas a pág dia 8 e não tenho acesso na minha conta, meu Deus como faz pra processar esse banco, alguém sabe como fazer, tá difícil o acesso, e vai sobrar tudo pro meu rabo, não vou conseguir pág minhas contas",leitebeatryz meu deus tenho contas pág dia não tenho acesso minha conta meu deus como faz pra processar esse banco alguém sabe como fazer difícil acesso vai sobrar tudo pro meu rabo não vou conseguir pág minhas contas,Neutral
@sandrasantosgabriel035 estou ligando na central deles e sempre falam que o problemas no app é que irão tirar o meu cadastro das ligações e permanecem a mesma situação,sandrasantosgabriel035 estou ligando central deles sempre falam que problemas app que irão tirar meu cadastro das ligações permanecem mesma situação,Neutral
Reclame aqui de vocês não funcionam né ?,reclame aqui vocês não funcionam,Neutral
"@deisitielypeixoto Vou fazer a mesma coisa, tenho pág agora dia 8 e não vou conseguir pág, já que ninguém resolve nada então foda-se empréstimo e fatura de cartão, cansei de ligar pra lá",deisitielypeixoto vou fazer mesma coisa tenho pág agora dia não vou conseguir pág que ninguém resolve nada então fodase empréstimo fatura cartão cansei ligar pra,Neutral
"@leitebeatryz não adianta ligar não resolve nada, então vou deixar pra lá, já que tenho fatura e empréstimo a pág dia 8, então foda - se não vou conseguir pág mesmo, porque já fazais de uma semana",leitebeatryz não adianta ligar não resolve nada então vou deixar pra lá que tenho fatura empréstimo pág dia então foda não vou conseguir pág mesmo porque fazais uma semana,Neutral
nubank me patrocina....tenho um Jetta roxo perfeito kkkk,nubank patrocinatenho jetta roxo perfeito kkkk,Positive
Time virada com a galeraaaa,time virada com galeraaaa,Neutral
"Pessimista banco , horrível gente não usem . Encerraram minha conta e agora toda vez quando alguém faz um pix , aparece suspeita de fraude",pessimista banco horrível gente não usem encerraram minha conta agora toda vez quando alguém faz pix aparece suspeita fraude,Negative
Sofá com certeza 😂😂😂,sofá com certeza,Neutral
👏👏,nan,Neutral
👏,nan,Neutral
🤙🤙🤙🤙,nan,Neutral
,nan,Neutral
👏❤️👏,nan,Neutral
@nubank esse aplicativo não vai mais voltar a funcionar que falta de respeito com os clientes.,nubank esse aplicativo não vai mais voltar funcionar que falta respeito com clientes,Neutral
"Não consigo acessar, dá erro",não consigo acessar erro,Neutral
Encerrando minha conta .,encerrando minha conta,Neutral
Já fiz isso mil vezes e nada!,fiz isso mil vezes nada,Neutral
"@nubank eu tento entrar no aplicativo e dá erro, nem o login aparece, fica parecendo nubank business.",nubank tento entrar aplicativo erro nem login aparece fica parecendo nubank business,Neutral
o app ja caiu dnv? plmds,app caiu dnv plmds,Neutral
Hoje dia 31/12 não tô conseguindo acessar meu app tá dando erro,hoje dia 3112 não conseguindo acessar meu app dando erro,Neutral
@nubank consegui desinstalando e instalando de novo. Obrigada ❤️,nubank consegui desinstalando instalando novo obrigada,Neutral
estamos todos na mesma 😢 meu aplicativo também tá dando erro não consigo acessar meu aplicativo,estamos todos mesma meu aplicativo também dando erro não consigo acessar meu aplicativo,Neutral
@gatiere eu também estou com esse problema!!!,gatiere também estou com esse problema,Neutral
@nubank parem de respostas automáticas e ajeite nosso aplicativo!!!,nubank parem respostas automáticas ajeite nosso aplicativo,Neutral
"@nubank apenas ajeite nosso aplicativo, estamos sendo prejudicados.",nubank apenas ajeite nosso aplicativo estamos sendo prejudicados,Neutral
@nubank traga nosso aplicativo de volta.,nubank traga nosso aplicativo volta,Neutral
@nubank o aplicativo vai voltar a funcionar que horas?,nubank aplicativo vai voltar funcionar que horas,Neutral
"@bellamartincare A ""orientação"" é sempre a mesma. Resolver que é bom nada.",bellamartincare orientação sempre mesma resolver que bom nada,Neutral
"@gatiere o meu também, nunca deu problema, agora que eu comecei a juntar dinheiro na caixinha estão me impedindo de mexer. Já faz 4 dias que não consigo abrir o app",gatiere meu também nunca deu problema agora que comecei juntar dinheiro caixinha estão impedindo mexer faz dias que não consigo abrir app,Neutral
@ellenrabeloe por acaso você começou a juntar dinheiro na caixinha?  Ou tem bastante dinheiro na conta??,ellenrabeloe por acaso você começou juntar dinheiro caixinha tem bastante dinheiro conta,Neutral
@_carla.maiara_ Logo nos últimos dias do ano. Obrigado @nubank 👏👏👏, carlamaiara  logo nos últimos dias ano obrigado nubank,Neutral
Eu também não estou conseguindo acessar.,também não estou conseguindo acessar,Neutral
Mais alguém com a conta bloqueada?,mais alguém com conta bloqueada,Neutral
"@nubank informações detalhadas : “conta bloqueada por motivo de segurança” , resposta do suporte sobre necessitar usar o dinheiro depositado em conta “se vira”",nubank informações detalhadas conta bloqueada por motivo segurança resposta suporte sobre necessitar usar dinheiro depositado conta se vira,Neutral
Então não é só eu que não consegue acessar a conta!,então não que não consegue acessar conta,Neutral
Eu fiz um Pix e não caiu até agora na conta que era pra cai mais alguém ?,fiz pix não caiu até agora conta que era pra cai mais alguém,Neutral
"O meu tá assim tem uns 4 dias, não consigo acessar, não sei mais o que fazer",meu assim tem uns dias não consigo acessar não sei mais que fazer,Neutral
@nubank vou fazer,nubank vou fazer,Neutral
quando vcs vão atualizar o meu app???,quando vcs vão atualizar meu app,Neutral
@nubank Esse número está incorreto. Tem outro local para falarmos?,nubank esse número está incorreto tem outro local para falarmos,Neutral
"@nubank desde cedo não estou conseguindo entrar no aplicativo, só dando erro",nubank desde cedo não estou conseguindo entrar aplicativo dando erro,Neutral
@carlosrodrigues2105 o aplicativo está atualizado,carlosrodrigues2105 aplicativo está atualizado,Neutral
@carlosrodrigues2105 @nubank JÁ FIZ OS PROCEDIMENTOS E NÃO ESTOU CONSEGUINDO ENTRAR NO APLICATIVO,carlosrodrigues2105 nubank fiz procedimentos não estou conseguindo entrar aplicativo,Neutral
@nubank depois de diversas tentativas quando vão me estornar meus 400$ ??????,nubank depois diversas tentativas quando vão estornar meus 400 ,Neutral
Minha conta nn ta abrindo,minha conta abrindo,Neutral
😢😢,nan,Neutral
"@nubank reportando desde o dia 12/12 , só me estornam o que já paguei , um acordo de vocês , porém o dinheiro que entra é o que já paguei 😡",nubank reportando desde dia 1212 estornam que paguei acordo vocês porém dinheiro que entra que paguei,Neutral
Não estou conseguindo acessar o app desde a manhã😮,não estou conseguindo acessar app desde manhã,Neutral
Aplicativo de novo com problema 😢😢😢😢,aplicativo novo com problema,Neutral
@nubank mais ??,nubank mais,Neutral
@nubank o que está acontecendo com o aplicativo da nubank não estou conseguindo entrar no app,nubank que está acontecendo com aplicativo nubank não estou conseguindo entrar app,Neutral
@gatiere eu tbm,gatiere tbm,Neutral
@nubank JÁ FIZ ISSO NÃO ESTOU CONSEGUINDO ENTRAR,nubank fiz isso não estou conseguindo entrar,Neutral
@nubank quais canais de atendimento??,nubank quais canais atendimento,Neutral
"Não estou conseguindo acessar o app, aparece carregando apenas...",não estou conseguindo acessar app aparece carregando apenas,Neutral
@gatiere também não,gatiere também não,Neutral
Vdd o meu também está assim,vdd meu também está assim,Neutral
Meu APP não está funcionando,meu app não está funcionando,Neutral
ta fora do ar?,fora ar,Neutral
Não consigo entrar na minha conta. Desinstalei o app e instalei novamente...fala que vai mandar o código por email pra autorizar o celular mas essa senha nunca chega. Preciso entrar na minha conta,não consigo entrar minha conta desinstalei app instalei novamentefala que vai mandar código por email pra autorizar celular mas essa senha nunca chega preciso entrar minha conta,Neutral
Nubank não está acessando dando erro,nubank não está acessando dando erro,Neutral
Tive que desinstalar e instalar novamente para funcionar.,tive que desinstalar instalar novamente para funcionar,Neutral
"@gatiere 8 dias que estou nessa e eles não resolveram. A resposta é sempre a mesma: instabilidade ""vulgo"" bloqueio",gatiere dias que estou nessa eles não resolveram resposta sempre mesma instabilidade vulgo bloqueio,Neutral
Exatamente!!! Eles buscam culpados. Já fiz o que eles pedem milhões de vezes. Resolver que é bom nada!! @nubank 1° lugar em deixar os clientes na mão.,exatamente eles buscam culpados fiz que eles pedem milhões vezes resolver que bom nada nubank lugar deixar clientes mão,Neutral
"@luizhenriquelara Amanhã completo 9 dias sem acesso ao app por esses mesmos motivos. Eles pedem pra ligar nesses números, mas não resolvem nada, nos fazem de 🤡",luizhenriquelara amanhã completo dias sem acesso app por esses mesmos motivos eles pedem pra ligar nesses números mas não resolvem nada nos fazem,Neutral
app caiu vei 😃😃😃,app caiu vei,Neutral
@nubank quando rola com todo mundi é meio complicado,nubank quando rola com todo mundi meio complicado,Neutral
Meu saiu fora agora. E deram a mesma resposta instabilidade.,meu saiu fora agora deram mesma resposta instabilidade,Neutral
@_carla.maiara_ O meu só resolveu depois que desinstalei e instalei novamente., carlamaiara  meu resolveu depois que desinstalei instalei novamente,Neutral
Está fora do ar?,está fora ar,Neutral
"@nubank esse aplicativo não vai mais voltar, desde de manhã fora do ar",nubank esse aplicativo não vai mais voltar desde manhã fora,Neutral
O livro de Eli,livro eli,Neutral
@fabi_cabral_1 😍obg❤️,fabi cabral 1 obg,Neutral
Da próxima vez faz com séries rsrs,próxima vez faz com séries rsrs,Neutral
@juannita_ju serie*,juannita ju serie,Neutral
@dihlioliver eu vi que muitos colocaram😂😂😂,dihlioliver que muitos colocaram,Neutral
@letticia_soousa nunca,letticia soousa nunca,Neutral
👍🏾👍🏾,nan,Neutral
Dirty Dance🤩🤩,dirty dance,Neutral
Um olhar no paraíso 🤩🤩🤩,olhar paraíso,Neutral
Essa é uma série  pássaros  ferido,essa uma série pássaros ferido,Neutral
@juannita_ju mas são ótimos também 😍,juannita ju mas são ótimos também,Neutral
"Nubank é incrivel. nunca deixei de pagar fatura, nao tenho divida nenhuma, meu score na serasa é excelente, mas que limite baixo é esse ? estou esperando uma mensagem do Nubank: seu cartão foi cancelado",nubank incrivel nunca deixei pagar fatura nao tenho divida nenhuma meu score serasa excelente mas que limite baixo esse estou esperando uma mensagem nubank seu cartão foi cancelado,Neutral
😢 me id ll😍.... cyg bom.o,ll cyg bomo,Neutral
"@austinj.37 fiz uma conta tem um mês eu acho, o cartão não chegou em casa (errei coloquei o endereço escrito errado) aí mudei e disseram que iam entregar até dia 23 de janeiro, não chegou e o banco cancelou meu cartão kkkkkk paguei a fatura do que usei pela Net , tenho 200 de limite pra usar mas não passa ,não consigo comprar nada pela internet, tô só esperando fechar a fatura de fevereiro pra eu pagar e cancelar a conta.",austinj37 fiz uma conta tem mês acho cartão não chegou casa errei coloquei endereço escrito errado mudei disseram que iam entregar até dia janeiro não chegou banco cancelou meu cartão kkkkkk paguei fatura que usei pela net tenho 200 limite pra usar mas não passa não consigo comprar nada pela internet esperando fechar fatura fevereiro pra pagar cancelar conta,Neutral
"Pior foi eu que abri uma conta com eles tem um mês , eu nem percebi que havia colocado o endereço errado, logo que vi que não conseguiram entregar eu arrumei , aí disse que iam entregar até dia 23 de janeiro, quando chegou perto da data cancelaram o cartão 😂 e ele nem chegou pra mim. Vou pagar a fatura de fevereiro e já cancelar",pior foi que abri uma conta com eles tem mês nem percebi que havia colocado endereço errado logo que que não conseguiram entregar arrumei disse que iam entregar até dia janeiro quando chegou perto data cancelaram cartão ele nem chegou pra mim vou pagar fatura fevereiro cancelar,Neutral
,nan,Neutral
"Tira teu dinheiro de lá! Minha conta foi cancelada hoje, tenho ela desde de 2018, não falam do meu dinheiro em conta, o dinheiro que fica nas caixinhas eles simplesmente falam que não devolvem!",tira teu dinheiro lá minha conta foi cancelada hoje tenho ela desde 2018 não falam meu dinheiro conta dinheiro que fica nas caixinhas eles simplesmente falam que não devolvem,Neutral
"@nubank cancelaram minha conta, quero saber quando vão devolver meu dinheiro que estava nela!",nubank cancelaram minha conta quero saber quando vão devolver meu dinheiro que estava nela,Neutral
@dihlioliver sim😍😍,dihlioliver sim,Neutral
"@balardin___ amiga eles não devolvem , o meu está lá até hj. Eles não respondem o e-mail @nubank",balardin    amiga eles não devolvem meu está até hj eles não respondem email nubank,Neutral
FILME CARGA EXPLOSIVA !,filme carga explosiva,Neutral
O auto da compadecida,auto compadecida,Neutral
"Os Goonies, Close e Orações para Bobby",goonies close orações para bobby,Neutral
Uma linda mulher !!!,uma linda mulher ,Neutral
Café ☕ na garrafa 🍶😍☕,café garrafa,Neutral
O Leitor,leitor,Neutral
Uma linda mulher😍😍,uma linda mulher,Neutral
Cadê o pix hein nubank?,cadê pix hein nubank,Neutral
"Se beber, não Case 1 😜",beber não case,Neutral
Lua de Cristal,lua cristal,Neutral
"Cars 1,cars2,cars3,ben10 corrida contra o tempo,ben10 invasão alienígena,ben10 destruição alienígena,scooby-doo o filme.",cars 1cars2cars3ben10 corrida contra tempoben10 invasão alienígenaben10 destruição alienígenascoobydoo filme,Neutral
Os farofeiros,farofeiros,Neutral
Uma linda mulher.,uma linda mulher,Neutral
Uma linda mulher 🥰🥰🥰,uma linda mulher,Neutral
As branquelas,branquelas,Neutral
Um amor pra recordar,amor pra recordar,Neutral
Uma linda mulher,uma linda mulher,Neutral
Uma linda mulher 😍,uma linda mulher,Neutral
Guarda costa,guarda costa,Neutral
Uma linda mulher 😍😍😍,uma linda mulher,Neutral
